aX,aY,aZ,gX,gY,gZ
0.766,0.071,0.647,0.427,-0.122,-0.122
0.763,0.068,0.648,0.244,-0.183,-0.122
0.760,0.062,0.651,-0.122,-0.366,0.061
0.762,0.064,0.653,0.244,-0.488,0.244
0.759,0.062,0.653,0.305,-0.244,0.305
0.760,0.064,0.655,0.488,-0.183,0.916
0.765,0.070,0.648,0.427,-0.305,0.977
0.761,0.067,0.648,0.427,-0.732,1.038
0.765,0.074,0.657,0.610,-0.610,1.038
0.764,0.077,0.661,0.000,0.122,0.427
0.762,0.068,0.661,0.793,-0.122,-0.122
0.764,0.072,0.648,0.427,0.305,0.549
0.767,0.072,0.640,-0.122,0.488,0.122
0.760,0.066,0.639,0.122,-0.549,-0.427
0.760,0.063,0.656,0.000,-1.343,0.061
0.759,0.067,0.661,0.244,-0.916,0.427
0.758,0.065,0.661,0.366,-0.854,0.183
0.758,0.066,0.654,0.305,-0.305,0.732
0.763,0.069,0.650,0.366,-0.549,0.977
0.760,0.072,0.653,0.488,-0.793,0.549
0.763,0.076,0.660,-0.061,-0.305,0.549
0.763,0.074,0.663,0.549,-0.488,0.122
0.760,0.071,0.659,0.122,0.000,-0.122
0.758,0.068,0.652,0.122,0.061,-0.122
0.754,0.064,0.652,0.000,0.122,0.305
0.761,0.071,0.659,0.427,-0.305,0.671
0.764,0.073,0.655,-0.122,0.305,0.183
0.758,0.068,0.647,0.610,-0.549,0.366
0.760,0.073,0.653,0.000,-0.610,0.366
0.761,0.069,0.658,0.061,-0.366,-0.549
0.754,0.063,0.659,0.183,-0.366,0.366
0.757,0.069,0.668,0.061,0.000,1.221
0.759,0.073,0.657,0.671,0.244,0.793
0.759,0.070,0.650,0.000,0.183,0.854
0.762,0.077,0.651,0.122,-0.366,0.854
0.762,0.075,0.660,0.549,-0.610,0.244
0.759,0.072,0.662,0.122,0.000,0.305
0.761,0.073,0.656,-0.061,0.488,0.244
0.760,0.074,0.655,0.366,0.244,0.183
0.762,0.077,0.655,-0.305,0.305,0.000
0.760,0.075,0.654,0.122,0.244,-0.305
0.758,0.069,0.659,-0.305,0.061,-0.366
0.760,0.070,0.660,0.122,0.549,-0.305
0.753,0.064,0.649,0.000,0.549,-0.610
0.757,0.069,0.654,0.427,-0.061,0.610
